epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.277,1.18978,2.91077,1.10369,0.05712,0.34799,0.15853,0.11912,1.03952,3.2209,0.95515,0.00023331,0.00023331,0.00023331
2,218.013,1.13978,1.57581,1.04351,0.81266,0.04806,0.25707,0.18175,1.05233,2.90184,0.9697,0.000468271,0.000468271,0.000468271
3,333.766,1.06513,1.2344,1.0261,0.63267,0.13221,0.43596,0.29609,1.06878,2.25655,0.97575,0.000693553,0.000693553,0.000693553
4,448.709,1.06123,1.15175,1.02277,0.51573,0.24072,0.38616,0.24109,1.16987,2.27029,1.05912,0.000909156,0.000909156,0.000909156
5,565.409,1.06511,1.0694,1.01751,0.45529,0.29909,0.32855,0.18969,1.27281,2.45231,1.15928,0.00102301,0.00102301,0.00102301
6,4743.48,1.05505,1.07642,1.02652,0.51747,0.44004,0.47625,0.31158,1.21202,1.99685,1.06744,0.00100101,0.00100101,0.00100101
7,4835.16,1.03787,1.01159,1.01229,0.54686,0.5551,0.55281,0.37156,1.09351,1.57178,1.01689,0.000979013,0.000979013,0.000979013
8,4940.17,1.04804,0.9912,1.01794,0.73883,0.555,0.62747,0.40843,1.03934,1.1793,1.00061,0.000957015,0.000957015,0.000957015
9,5047.1,0.99032,0.93824,0.99689,0.64046,0.56899,0.605,0.39323,1.02605,1.12109,0.99569,0.000935018,0.000935018,0.000935018
10,5165.99,0.9858,0.93375,0.99002,0.60739,0.56978,0.59809,0.39107,1.00436,1.09768,0.99192,0.00091302,0.00091302,0.00091302
11,5280.6,0.95359,0.88886,0.9798,0.6826,0.54114,0.63599,0.42707,1.0036,1.07059,0.99499,0.000891022,0.000891022,0.000891022
12,5395.72,0.94905,0.86546,0.98068,0.60773,0.60231,0.63385,0.3908,1.03886,1.08664,1.0186,0.000869024,0.000869024,0.000869024
13,5510.36,0.94961,0.87486,0.97991,0.60353,0.61614,0.6226,0.39544,1.01423,1.00833,0.99765,0.000847026,0.000847026,0.000847026
14,5638.01,0.93783,0.84435,0.97825,0.66248,0.64978,0.64929,0.41097,1.04538,0.97735,1.0127,0.000825029,0.000825029,0.000825029
15,5761.82,0.91618,0.80615,0.97135,0.68508,0.62586,0.63267,0.41797,0.9876,0.93962,0.97786,0.000803031,0.000803031,0.000803031
16,5880.07,0.91265,0.79464,0.96599,0.77638,0.56332,0.6581,0.42757,0.96405,0.98583,0.96757,0.000781033,0.000781033,0.000781033
17,6003.11,0.9186,0.78577,0.95329,0.72061,0.58093,0.65359,0.43743,0.96582,0.91028,0.98136,0.000759035,0.000759035,0.000759035
18,6119.75,0.93012,0.80587,0.96686,0.68693,0.59672,0.64546,0.43769,0.98434,0.92356,0.97891,0.000737037,0.000737037,0.000737037
19,6237.02,0.89187,0.76781,0.95096,0.62023,0.60944,0.64633,0.44212,0.96817,0.87978,0.97895,0.00071504,0.00071504,0.00071504
20,6354.92,0.89608,0.7757,0.96771,0.52729,0.67214,0.66279,0.43552,0.95495,0.86513,0.97239,0.000693042,0.000693042,0.000693042
21,6494.96,0.89597,0.7572,0.95154,0.63991,0.62106,0.67312,0.43797,1.00188,0.89955,0.99013,0.000671044,0.000671044,0.000671044
22,6650.85,0.87916,0.72633,0.95732,0.63925,0.67468,0.70728,0.46396,0.94667,0.87129,0.97349,0.000649046,0.000649046,0.000649046
23,6820.76,0.86678,0.69474,0.95034,0.6808,0.66335,0.69885,0.46865,0.97805,0.85498,0.98134,0.000627048,0.000627048,0.000627048
24,7014.65,0.86641,0.70611,0.94207,0.75009,0.62212,0.71028,0.46209,0.97407,0.87563,0.98296,0.000605051,0.000605051,0.000605051
25,7182.62,0.87315,0.70643,0.94829,0.67543,0.65338,0.69835,0.45719,0.95719,0.85757,0.98373,0.000583053,0.000583053,0.000583053
26,7363.32,0.83971,0.67207,0.92634,0.82787,0.63395,0.69704,0.45357,0.94945,0.85852,0.97682,0.000561055,0.000561055,0.000561055
27,7527.29,0.83417,0.66204,0.93674,0.68062,0.68356,0.69335,0.45426,0.94641,0.81359,0.97338,0.000539057,0.000539057,0.000539057
28,7679.3,0.84289,0.70915,0.93893,0.81714,0.60039,0.69129,0.46126,0.96822,0.83616,0.97226,0.000517059,0.000517059,0.000517059
29,7818.99,0.83315,0.66507,0.93067,0.76523,0.62151,0.70349,0.47667,0.94508,0.8247,0.97061,0.000495062,0.000495062,0.000495062
30,7964.92,0.81738,0.66616,0.92002,0.72917,0.63416,0.68353,0.4559,0.92769,0.82426,0.95515,0.000473064,0.000473064,0.000473064
31,8183.1,0.82267,0.64862,0.92724,0.7041,0.62523,0.65678,0.43858,0.93622,0.83743,0.96512,0.000451066,0.000451066,0.000451066
32,8325.36,0.82409,0.63279,0.92337,0.70617,0.66558,0.69556,0.46958,0.95078,0.80132,0.98227,0.000429068,0.000429068,0.000429068
33,8471.11,0.81428,0.63379,0.91918,0.71551,0.67307,0.71252,0.48186,0.94261,0.76764,0.9742,0.00040707,0.00040707,0.00040707
34,8655.03,0.79533,0.60378,0.912,0.82061,0.58679,0.68774,0.46791,0.91448,0.78876,0.96499,0.000385073,0.000385073,0.000385073
35,8836.63,0.80823,0.6181,0.91848,0.66705,0.65414,0.6819,0.45885,0.93011,0.79408,0.97091,0.000363075,0.000363075,0.000363075
36,9028,0.81156,0.61971,0.92125,0.70079,0.64339,0.67872,0.45995,0.934,0.78772,0.96634,0.000341077,0.000341077,0.000341077
37,9201.74,0.79208,0.60102,0.91922,0.69652,0.67082,0.6998,0.47947,0.92364,0.75171,0.96278,0.000319079,0.000319079,0.000319079
38,9380.99,0.78744,0.58842,0.91549,0.74536,0.62363,0.67787,0.45991,0.91297,0.77481,0.95529,0.000297081,0.000297081,0.000297081
39,9551.74,0.79903,0.59993,0.92116,0.77067,0.61875,0.6876,0.46776,0.91321,0.7586,0.95862,0.000275084,0.000275084,0.000275084
40,9728.52,0.7851,0.59268,0.911,0.69349,0.62311,0.67767,0.46076,0.91015,0.76455,0.95966,0.000253086,0.000253086,0.000253086
41,9901.57,0.80136,0.66818,0.89945,0.68877,0.62876,0.64636,0.44346,0.92413,0.87746,0.95835,0.000231088,0.000231088,0.000231088
42,10058.9,0.76513,0.59546,0.89413,0.66366,0.64395,0.66851,0.45339,0.91568,0.78143,0.9608,0.00020909,0.00020909,0.00020909
43,10249.8,0.76782,0.57681,0.8918,0.69008,0.62692,0.67709,0.46965,0.92384,0.78022,0.96529,0.000187092,0.000187092,0.000187092
44,10434.3,0.75335,0.55741,0.88376,0.70988,0.62613,0.67869,0.47406,0.90644,0.75275,0.96192,0.000165095,0.000165095,0.000165095
45,10572.5,0.74744,0.55782,0.88534,0.6982,0.63645,0.68702,0.47665,0.88832,0.7572,0.95381,0.000143097,0.000143097,0.000143097
46,10687.9,0.73877,0.54967,0.88217,0.69035,0.64395,0.694,0.47648,0.88568,0.73911,0.94888,0.000121099,0.000121099,0.000121099
47,10804.1,0.737,0.54166,0.88348,0.68787,0.62942,0.6863,0.47606,0.88513,0.74424,0.94804,9.91012e-05,9.91012e-05,9.91012e-05
48,10936.1,0.72776,0.53872,0.87858,0.72587,0.61935,0.691,0.47989,0.87543,0.73436,0.94421,7.71034e-05,7.71034e-05,7.71034e-05
49,11106.8,0.7264,0.53402,0.87993,0.71314,0.62435,0.6955,0.48084,0.87133,0.72581,0.94431,5.51056e-05,5.51056e-05,5.51056e-05
50,11248.3,0.71554,0.52634,0.87732,0.7443,0.62883,0.6971,0.47924,0.87351,0.71626,0.94495,3.31078e-05,3.31078e-05,3.31078e-05
